cart_offset,length,dest,mode
0x02cba000,0x2b000,0x0ca378e0,DMA
0x02d25800,0x100000,0x0ca378e0,DMA
0x02e25800,0x100000,0x0ca378e0,DMA
0x02f25800,0xab000,0x0ca378e0,DMA
0x03347800,0xab000,0x0ca378e0,DMA
0x033f2800,0xb000,0x0ca378e0,DMA
0x033fd800,0xb000,0x0ca378e0,DMA
0x03408800,0xb000,0x0ca378e0,DMA
0x03413800,0xb000,0x0ca378e0,DMA
0x0341e800,0x40800,0x0c572f20,DMA
0x0345f000,0xab000,0x0ca378e0,DMA
0x0350a000,0xb000,0x0ca378e0,DMA
0x03515000,0xb000,0x0ca378e0,DMA
0x03520000,0xb000,0x0ca378e0,DMA
0x0352b000,0xb000,0x0ca378e0,DMA
0x0360d000,0x40800,0x0c26cc20,DMA
0x0364d800,0x2b000,0x0ca378e0,DMA
0x0377c000,0x2b000,0x0ca378e0,DMA
0x038be800,0x2b000,0x0ca378e0,DMA
0x038e9800,0xb000,0x0ca378e0,DMA
0x038f4800,0xb000,0x0ca378e0,DMA
0x038ff800,0xab000,0x0ca378e0,DMA
0x039aa800,0xb000,0x0ca378e0,DMA
0x039b5800,0xb000,0x0ca378e0,DMA
0x039c0800,0x10800,0x0ca378e0,DMA
0x03a93800,0x800,0x0ca378e0,DMA
0x03a94000,0x40800,0x0ca378e0,DMA
0x03dc9000,0xb000,0x0ca378e0,DMA
0x03dd4000,0xb000,0x0ca378e0,DMA
0x03ddf000,0xb000,0x0ca378e0,DMA
0x03dea000,0xb000,0x0ca378e0,DMA
0x03df5000,0xab000,0x0ca378e0,DMA
0x044ac000,0x2b000,0x0ca378e0,DMA
0x045e5000,0xab000,0x0ca378e0,DMA
0x04690000,0xb000,0x0ca378e0,DMA
0x0469b000,0xb000,0x0ca378e0,DMA
0x046a6000,0xb000,0x0ca378e0,DMA
0x046b1000,0xb000,0x0ca378e0,DMA
0x0486a000,0xab000,0x0ca378e0,DMA
0x04915000,0xb000,0x0ca378e0,DMA
0x04920000,0xb000,0x0ca378e0,DMA
0x0492b000,0xb000,0x0ca378e0,DMA
0x04936000,0xb000,0x0ca378e0,DMA
0x05622000,0xab000,0x0ca378e0,DMA
0x056cd000,0x10000,0x0c21c3c0,DMA
0x056cd000,0x10000,0x0c3b7140,DMA
0x056dd000,0x10000,0x0c21c3c0,DMA
0x056dd000,0x10000,0x0c3b7140,DMA
0x056ed000,0x10000,0x0c21c3c0,DMA
0x056ed000,0x10000,0x0c3b7140,DMA
0x056fd000,0x10000,0x0c21c3c0,DMA
0x056fd000,0x10000,0x0c3b7140,DMA
0x0570d000,0x10000,0x0c21c3c0,DMA
0x0570d000,0x10000,0x0c3b7140,DMA
0x0571d000,0x10000,0x0c21c3c0,DMA
0x0571d000,0x10000,0x0c3b7140,DMA
0x0572d000,0x10000,0x0c21c3c0,DMA
0x0572d000,0x10000,0x0c3b7140,DMA
0x0573d000,0x10000,0x0c21c3c0,DMA
0x0573d000,0x10000,0x0c3b7140,DMA
0x0574d000,0x10000,0x0c21c3c0,DMA
0x0574d000,0x10000,0x0c3b7140,DMA
0x0575d000,0x10000,0x0c21c3c0,DMA
0x0575d000,0x10000,0x0c3b7140,DMA
0x0576d000,0x10000,0x0c21c3c0,DMA
0x0576d000,0x10000,0x0c3b7140,DMA
0x0577d000,0x10000,0x0c21c3c0,DMA
0x0577d000,0x10000,0x0c3b7140,DMA
0x0578d000,0x10000,0x0c21c3c0,DMA
0x0578d000,0x10000,0x0c3b7140,DMA
0x0579d000,0x10000,0x0c21c3c0,DMA
0x0579d000,0x10000,0x0c3b7140,DMA
0x057ad000,0x10000,0x0c21c3c0,DMA
0x057ad000,0x10000,0x0c3b7140,DMA
0x057bd000,0x10000,0x0c21c3c0,DMA
0x057bd000,0x10000,0x0c3b7140,DMA
0x057cd000,0x10000,0x0c21c3c0,DMA
0x057cd000,0x10000,0x0c3b7140,DMA
0x057dd000,0x10000,0x0c21c3c0,DMA
0x057dd000,0x10000,0x0c3b7140,DMA
0x057ed000,0x10000,0x0c21c3c0,DMA
0x057ed000,0x10000,0x0c3b7140,DMA
0x057fd000,0x10000,0x0c21c3c0,DMA
0x057fd000,0x10000,0x0c3b7140,DMA
0x0580d000,0x10000,0x0c21c3c0,DMA
0x0580d000,0x10000,0x0c3b7140,DMA
0x0581d000,0x10000,0x0c21c3c0,DMA
0x0581d000,0x10000,0x0c3b7140,DMA
0x0582d000,0x10000,0x0c21c3c0,DMA
0x0582d000,0x10000,0x0c3b7140,DMA
0x0583d000,0x10000,0x0c21c3c0,DMA
0x0583d000,0x10000,0x0c3b7140,DMA
0x0584d000,0x10000,0x0c21c3c0,DMA
0x0584d000,0x10000,0x0c3b7140,DMA
0x0585d000,0x10000,0x0c21c3c0,DMA
0x0585d000,0x10000,0x0c3b7140,DMA
0x0586d000,0x10000,0x0c21c3c0,DMA
0x0586d000,0x10000,0x0c3b7140,DMA
0x0587d000,0x10000,0x0c21c3c0,DMA
0x0587d000,0x10000,0x0c3b7140,DMA
0x0588d000,0x10000,0x0c21c3c0,DMA
0x0588d000,0x10000,0x0c3b7140,DMA
0x0589d000,0x10000,0x0c21c3c0,DMA
0x0589d000,0x10000,0x0c3b7140,DMA
0x058ad000,0x7800,0x0c21c3c0,DMA
0x058ad000,0x7800,0x0c3b7140,DMA
0x058b4800,0x10000,0x0c21c3c0,DMA
0x058c4800,0x10000,0x0c21c3c0,DMA
0x058d4800,0x10000,0x0c21c3c0,DMA
0x058e4800,0x10000,0x0c21c3c0,DMA
0x058f4800,0x10000,0x0c21c3c0,DMA
0x05904800,0x10000,0x0c21c3c0,DMA
0x05914800,0x10000,0x0c21c3c0,DMA
0x05924800,0x10000,0x0c21c3c0,DMA
0x05934800,0x10000,0x0c21c3c0,DMA
0x05944800,0x10000,0x0c21c3c0,DMA
0x05954800,0x10000,0x0c21c3c0,DMA
0x05964800,0x10000,0x0c21c3c0,DMA
0x05974800,0x10000,0x0c21c3c0,DMA
0x05984800,0x10000,0x0c21c3c0,DMA
0x05994800,0x10000,0x0c21c3c0,DMA
0x059a4800,0x10000,0x0c21c3c0,DMA
0x059b4800,0x10000,0x0c21c3c0,DMA
0x059c4800,0x10000,0x0c21c3c0,DMA
0x059d4800,0x10000,0x0c21c3c0,DMA
0x059e4800,0x10000,0x0c21c3c0,DMA
0x059f4800,0x10000,0x0c21c3c0,DMA
0x05a04800,0x10000,0x0c21c3c0,DMA
0x05a14800,0x10000,0x0c21c3c0,DMA
0x05a24800,0x10000,0x0c21c3c0,DMA
0x05a34800,0x10000,0x0c21c3c0,DMA
0x05a44800,0x10000,0x0c21c3c0,DMA
0x05a54800,0x8800,0x0c21c3c0,DMA
0x05a5d000,0x10000,0x0c21c3c0,DMA
0x05a6d000,0x10000,0x0c21c3c0,DMA
0x05a7d000,0x10000,0x0c21c3c0,DMA
0x05a8d000,0x10000,0x0c21c3c0,DMA
0x05a9d000,0x10000,0x0c21c3c0,DMA
0x05aad000,0x10000,0x0c21c3c0,DMA
0x05abd000,0x10000,0x0c21c3c0,DMA
0x05acd000,0x10000,0x0c21c3c0,DMA
0x05add000,0x10000,0x0c21c3c0,DMA
0x05aed000,0x10000,0x0c21c3c0,DMA
0x05afd000,0x10000,0x0c21c3c0,DMA
0x05b0d000,0x10000,0x0c21c3c0,DMA
0x05b1d000,0x10000,0x0c21c3c0,DMA
0x05b2d000,0x10000,0x0c21c3c0,DMA
0x05b3d000,0x10000,0x0c21c3c0,DMA
0x05b4d000,0x10000,0x0c21c3c0,DMA
0x05b5d000,0x10000,0x0c21c3c0,DMA
0x05b6d000,0x10000,0x0c21c3c0,DMA
0x05b7d000,0x10000,0x0c21c3c0,DMA
0x05b8d000,0x10000,0x0c21c3c0,DMA
0x05b9d000,0x5800,0x0c21c3c0,DMA
0x05ba2800,0x10000,0x0c21c3c0,DMA
0x05bb2800,0x10000,0x0c21c3c0,DMA
0x05bc2800,0x10000,0x0c21c3c0,DMA
0x05bd2800,0x10000,0x0c21c3c0,DMA
0x05be2800,0x10000,0x0c21c3c0,DMA
0x05bf2800,0x10000,0x0c21c3c0,DMA
0x05c02800,0x10000,0x0c21c3c0,DMA
0x05c12800,0x10000,0x0c21c3c0,DMA
0x05c22800,0x10000,0x0c21c3c0,DMA
0x05c32800,0x10000,0x0c21c3c0,DMA
0x05c42800,0x10000,0x0c21c3c0,DMA
0x05c52800,0x10000,0x0c21c3c0,DMA
0x05c62800,0x10000,0x0c21c3c0,DMA
0x05c72800,0x10000,0x0c21c3c0,DMA
0x05c82800,0x10000,0x0c21c3c0,DMA
0x05c92800,0x10000,0x0c21c3c0,DMA
0x05ca2800,0x10000,0x0c21c3c0,DMA
0x05cb2800,0x10000,0x0c21c3c0,DMA
0x05cc2800,0x10000,0x0c21c3c0,DMA
0x05cd2800,0x10000,0x0c21c3c0,DMA
0x05ce2800,0x10000,0x0c21c3c0,DMA
0x05cf2800,0x10000,0x0c21c3c0,DMA
0x05d02800,0x10000,0x0c21c3c0,DMA
0x05d12800,0x10000,0x0c21c3c0,DMA
0x05d22800,0x10000,0x0c21c3c0,DMA
0x05d32800,0x10000,0x0c21c3c0,DMA
0x05d42800,0x10000,0x0c21c3c0,DMA
0x05d52800,0x800,0x0ca378e0,DMA
0x05f05800,0xab000,0x0ca378e0,DMA
0x05fb0800,0x40800,0x0c5326e0,DMA
0x05ff1000,0xab000,0x0ca378e0,DMA
0x00000000,0x0,0x00000000,PIO
